Peak_ID	Motif	P_regulatory	M_prom	M_chip	M_atac	logFC	FIMO_score
Rtnl1_FBtr0079039	crebA	0.0074623771817088885	1	0	0	56.0	0.844896
ReepB_FBtr0302452	crebA	0.0074623771817088885	1	0	0	57.0	2.575508
TRAM_FBtr0307182	crebA	0.0074623771817088885	1	0	0	63.0	2.510202857142857
Sil1_FBtr0084870	crebA	0.0074623771817088885	1	0	0	60.0	2.2615963636363636
TRAM_FBtr0070167	crebA	0.0074623771817088885	1	0	0	63.0	2.4739211111111112
Slh_FBtr0077782	crebA	0.005204803931974235	1	0	1	27.0	3.013616666666666
Tudor-SN_FBtr0072519	crebA	0.005204803931974235	1	0	1	1.0	2.8367357142857146
Stt3B_FBtr0084786	crebA	0.0032119302987333102	1	0	0	49.0	3.889207142857143
prtp_FBtr0303334	crebA	0.0032119302987333102	1	0	0	45.0	3.82799
prtp_FBtr0332954	crebA	0.0032119302987333102	1	0	0	45.0	3.4988666666666663
Ostgamma_FBtr0079613	crebA	0.0032119302987333102	1	0	0	51.0	2.8707499999999997
Ufc1_FBtr0087264	crebA	0.0032119302987333102	1	0	0	39.0	3.354361818181818
prtp_FBtr0073551	crebA	0.0032119302987333102	1	0	0	45.0	3.4988666666666663
Spase22-23_FBtr0084564	crebA	0.0032119302987333102	1	0	0	55.0	2.7959228571428567
Spase25_FBtr0073506	crebA	0.0032119302987333102	1	0	0	52.0	3.909624285714286
gammaCOP_FBtr0085793	crebA	0.002237326205085311	1	0	0	17.0	6.136066666666667
deltaCOP_FBtr0070371	crebA	0.002237326205085311	1	0	0	16.0	4.666675555555555
sage_FBtr0081982	crebA	0.002237326205085311	1	0	0	3.0	4.052471428571429
alphaCOP_FBtr0072811	crebA	0.002237326205085311	1	0	0	20.0	4.506121
Golgin84_FBtr0084629	crebA	0.002237326205085311	1	0	0	24.0	5.770975555555555
GCC88_FBtr0082366	crebA	0.002237326205085311	1	0	0	25.0	3.9642887499999997
Cog6_FBtr0088595	crebA	0.002237326205085311	1	0	0	6.0	4.217691666666666
Cog4_FBtr0080038	crebA	0.002237326205085311	1	0	0	7.0	3.9795966666666662
CG5021_FBtr0076513	crebA	0.002237326205085311	1	0	0	23.0	4.523798888888889
TBC1D23_FBtr0077956	crebA	0.0013063323821867494	1	0	1	4.0	1.8819221428571429
lqfR_FBtr0299515	crebA	0.0013063323821867494	1	0	1	21.0	1.7680872727272727
Uggt_FBtr0075064	crebA	0.0008049273478538253	1	0	0	44.0	2.489794444444444
betaCOP_FBtr0074576	crebA	0.00039556405676432127	1	0	0	19.0	2.918374
Sec16_FBtr0310304	crebA	0.00039556405676432127	1	0	0	29.0	3.9319783333333334
Sec16_FBtr0113445	crebA	0.00039556405676432127	1	0	0	29.0	2.8040879999999997
zetaCOP_FBtr0075351	crebA	0.00039556405676432127	1	0	0	14.0	3.6836770000000003
CG8230_FBtr0088674	crebA	0.00039556405676432127	1	0	0	22.0	3.00765125
zetaCOP_FBtr0075352	crebA	0.00039556405676432127	1	0	0	14.0	3.6836770000000003
ArfGAP1_FBtr0075981	crebA	9.892088307771446e-05	1	0	0	12.0	2.5374133333333333
epsilonCOP_FBtr0079261	crebA	9.892088307771446e-05	1	0	0	15.0	2.3826525
Smu1_FBtr0304689	crebA	9.892088307771446e-05	1	0	0	31.0	1.9251722222222218
Sec16_FBtr0113444	crebA	9.892088307771446e-05	1	0	0	29.0	2.3469366666666667
Cog8_FBtr0080248	crebA	9.892088307771446e-05	1	0	0	5.0	2.4183675
Cog2_FBtr0083114	crebA	9.892088307771446e-05	1	0	0	8.0	1.1591799999999999
Smu1_FBtr0083721	crebA	9.892088307771446e-05	1	0	0	31.0	2.63265
